name,cuisine,description,ingredients,price,time_to_cook,diet_type,image_url
Spaghetti Carbonara,Italian,Creamy pasta with bacon and eggs,spaghetti;eggs;bacon;parmesan cheese;black pepper;garlic,15,30,Non-Vegetarian,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=800&q=80
Margherita Pizza,Italian,Classic pizza with tomato and mozzarella,pizza dough;tomato sauce;mozzarella cheese;basil;olive oil,12,25,Vegetarian,https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=800&q=80
Chicken Tikka Masala,Indian,Creamy spiced chicken in tomato sauce,chicken;yogurt;garam masala;turmeric;cumin;tomatoes;cream;ginger;garlic,18,60,Non-Vegetarian,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=800&q=80
Vegetable Biryani,Indian,Fragrant basmati rice with mixed vegetables,basmati rice;mixed vegetables;onions;ginger;garlic;yogurt;spices;ghee,14,45,Vegetarian,https://images.unsplash.com/photo-1589302168068-964664d93dc0?w=800&q=80
Pad Thai,Vietnamese,Stir-fried rice noodles with shrimp and vegetables,rice noodles;shrimp;bean sprouts;eggs;peanuts;lime;fish sauce;tamarind paste,16,25,Non-Vegetarian,https://images.unsplash.com/photo-1559314809-0d155014e29e?w=800&q=80
Pho Bo,Vietnamese,Traditional beef noodle soup,beef broth;rice noodles;beef slices;onions;ginger;star anise;cinnamon;basil;lime,17,120,Non-Vegetarian,https://images.unsplash.com/photo-1559339352-11d035aa65de?w=800&q=80
Banh Mi,Vietnamese,Vietnamese sandwich with pickled vegetables,baguette;pork;pickled carrots;cucumber;cilantro;mayonnaise;chili,13,20,Non-Vegetarian,https://images.unsplash.com/photo-1551218808-94e220e084d2?w=800&q=80
Goi Cuon,Vietnamese,Fresh spring rolls with shrimp and herbs,rice paper;shrimp;rice vermicelli;lettuce;mint;cilantro;hoisin sauce,12,30,Non-Vegetarian,https://images.unsplash.com/photo-1529692236671-f1f6cf9683ba?w=800&q=80
Sushi Rolls,Japanese,Assorted sushi with fish and vegetables,sushi rice;nori;salmon;tuna;cucumber;avocado;soy sauce;wasabi,22,40,Non-Vegetarian,https://images.unsplash.com/photo-1579584425555-c3ce17fd4351?w=800&q=80
Ramen,Japanese,Rich pork broth with noodles and toppings,ramen noodles;pork broth;chashu pork;soft-boiled egg;nori;green onions;bamboo shoots,19,90,Non-Vegetarian,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?w=800&q=80
Teriyaki Chicken,Japanese,Grilled chicken with sweet soy glaze,chicken;soy sauce;mirin;sugar;ginger;garlic;sesame seeds,16,35,Non-Vegetarian,https://images.unsplash.com/photo-1546833369-9c9ae5d1e616?w=800&q=80
Miso Soup,Japanese,Traditional soup with tofu and seaweed,dashi;miso paste;tofu;wakame seaweed;green onions,8,15,Vegetarian,https://images.unsplash.com/photo-1574894709920-11b28e7367e3?w=800&q=80
Tacos al Pastor,Mexican,Marinated pork tacos with pineapple,corn tortillas;pork;pineapple;onions;cilantro;lime;chili powder,14,60,Non-Vegetarian,https://images.unsplash.com/photo-1565299585323-38174c5b2e5e?w=800&q=80
Guacamole,Mexican,Fresh avocado dip,avocados;lime;onions;tomatoes;cilantro;salt;jalapeño,10,10,Vegetarian,https://images.unsplash.com/photo-1534939561126-855b8675edd7?w=800&q=80
Enchiladas,Mexican,Corn tortillas filled with cheese and sauce,corn tortillas;cheese;enchilada sauce;onions;black beans,13,40,Vegetarian,https://images.unsplash.com/photo-1574894709920-11b28e7367e3?w=800&q=80
Chiles Rellenos,Mexican,Stuffed poblano peppers with cheese,poblano peppers;cheese;eggs;flour;tomato sauce,15,45,Vegetarian,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=800&q=80
Coq au Vin,French,Chicken braised in red wine,chicken;red wine;mushrooms;onions;bacon;garlic;thyme;bay leaves,24,90,Non-Vegetarian,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=800&q=80
Ratatouille,French,Provencal vegetable stew,eggplant;zucchini;tomatoes;bell peppers;onions;garlic;herbs;olive oil,14,60,Vegetarian,https://images.unsplash.com/photo-1572441713132-51c75654db73?w=800&q=80
Beef Bourguignon,French,Beef stewed in red wine,beef;red wine;carrots;onions;mushrooms;bacon;thyme;bay leaves,26,180,Non-Vegetarian,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=800&q=80
Croque Monsieur,French,Grilled ham and cheese sandwich,bread;ham;gruyere cheese;butter;milk;flour;nutmeg,12,20,Non-Vegetarian,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=800&q=80
